@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
22,2,1,3,1,1,?
132,25,10,8,1,25,?
518,52,23,185,4,27,?
28,1,2,8,1,0,?
642,55,28,152,10,17,?
42,2,2,13,1,2,?
109,11,6,14,1,11,?
143,22,10,22,1,3,?
164,10,7,35,3,8,?
43,2,2,13,1,2,?
166,18,9,25,1,11,?
46,3,4,1,1,3,?
133,6,7,25,1,0,?
28,0,1,4,1,0,?
18,1,1,1,1,1,?
88,4,7,35,1,0,?
32,1,4,4,1,1,?
211,12,10,89,1,5,?
131,14,28,0,2,14,?
74,8,16,0,1,8,?
349,35,12,116,1,8,?
340,30,17,151,1,5,?
70,4,2,29,1,2,?
294,26,14,188,1,3,?
170,12,10,105,1,5,?
299,24,13,99,1,3,?
97,5,3,20,1,0,?
51,3,7,0,1,3,?
124,12,24,3,1,12,?
108,2,8,30,1,2,?
352,38,17,141,1,8,?
118,3,9,41,1,1,?
77,34,0,0,1,34,?
377,9,17,241,1,5,?
78,5,6,15,1,5,?
158,21,5,54,1,11,?
100,7,16,0,1,7,?
74,6,5,34,1,2,?
39,2,6,4,1,2,?
51,4,9,2,1,4,?
121,11,23,0,1,11,?
59,4,6,5,1,2,?
90,13,8,30,1,5,?
55,3,7,3,1,3,?
40,1,4,18,1,1,?
19,0,1,2,1,0,?
91,7,13,14,1,6,?
19,0,1,2,1,0,?
51,2,5,2,1,2,?
93,14,7,35,1,6,?
28,1,4,2,1,1,?
23,1,2,3,1,1,?
228,16,31,44,1,14,?
39,2,6,4,1,2,?
13,0,5,0,1,0,?
9,0,1,0,1,0,?
17,0,2,0,1,0,?
350,24,24,68,4,15,?
12,0,2,2,1,0,?
24,0,4,0,1,0,?
13,0,6,0,1,0,?
10,0,2,0,1,0,?
89,5,9,13,1,1,?
356,28,20,85,2,6,?
69,2,3,21,2,2,?
149,10,12,17,1,8,?
