@relation newData

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute label {buggy,clean}

@data
61,7,3,17,1,1,?
26,1,3,5,1,1,?
55,8,1,17,1,0,?
31,3,1,12,1,0,?
53,7,2,6,1,1,?
63,6,3,8,1,1,?
87,10,3,16,1,2,?
106,6,16,0,1,6,?
48,3,8,0,1,3,?
77,4,11,4,1,4,?
81,6,13,0,1,6,?
70,5,11,0,1,5,?
110,12,5,14,1,2,?
40,2,4,2,0,2,?
25,0,2,0,1,0,?
36,0,3,0,1,0,?
119,15,5,25,1,4,?
53,0,4,0,1,0,?
16,0,2,0,1,0,?
16,0,2,0,1,0,?
16,0,2,0,1,0,?
82,11,3,26,1,5,?
80,13,3,13,1,0,?
22,3,1,1,1,0,?
38,7,2,12,1,0,?
28,4,2,9,1,0,?
50,10,2,23,1,1,?
27,2,2,7,1,0,?
40,5,2,15,1,1,?
55,7,2,16,1,1,?
18,2,2,3,1,0,?
35,2,2,5,1,1,?
24,0,3,3,1,0,?
56,4,4,3,1,0,?
5,0,1,0,1,0,?
5,0,1,0,1,0,?
38,4,8,0,1,4,?
67,8,16,0,1,8,?
6,0,2,0,1,0,?
48,8,7,18,1,1,?
39,4,8,0,1,4,?
7,0,1,0,1,0,?
48,5,10,0,1,5,?
32,4,3,6,1,0,?
63,8,6,11,1,0,?
22,0,6,0,1,0,?
12,0,3,0,1,0,?
106,8,6,11,1,5,?
63,8,5,8,1,8,?
24,0,4,0,1,0,?
24,0,4,0,1,0,?
69,4,6,11,1,1,?
69,4,3,15,1,1,?
13,0,3,0,1,0,?
22,0,6,0,1,0,?
118,16,3,53,1,8,?
42,6,3,7,1,4,?
63,7,4,12,1,5,?
19,0,1,0,1,0,?
23,0,2,0,1,0,?
42,2,2,7,1,2,?
57,6,4,11,1,4,?
99,12,7,23,1,1,?
59,7,5,12,1,1,?
13,0,1,0,1,0,?
18,0,1,0,1,0,?
43,0,6,0,1,0,?
24,0,3,0,1,0,?
36,0,4,0,1,0,?
82,7,13,0,1,7,?
25,3,1,4,1,0,?
18,2,1,2,1,0,?
152,28,3,71,1,6,?
67,9,3,19,1,7,?
21,0,1,0,1,0,?
20,0,1,0,1,0,?
53,4,2,17,1,1,?
86,7,4,16,1,3,?
22,4,2,5,1,1,?
107,15,3,29,1,0,?
67,6,4,13,1,3,?
102,16,9,17,1,7,?
23,3,3,2,1,1,?
